symbol,name,price,assets,avg_vol,ytd,inverse,leveraged,week1,week4,year1,year3,year5,etfdb,inception,er,commission_free,annual_dividend_rate,dividend_date,dividend,annual_dividend_yield,p_e_ratio,beta,holdings,top_10,l_bollinger,u_bollinger,support1,resistance1,rsi,day_200,cap_gains,lt_cap_gains,tax_form,liquidity,expenses,performance,volatility,score_dividend,concentration,overall
SIJ,UltraShort Industrials ETF,30.42,4097.1,1402,-24.46%,Yes,2x,-4.64%,1.13%,-36.47%,-53.60%,-87.91%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$47.90,0.00%,n/a,-2.11,9,200.61%,$29.10,$32.43,$30.42,$30.42,44,27.90%,35%,15%,1099,C+,B,A-,A-,n/a,n/a,B
SZK,UltraShort Consumer Goods ETF,18.43,4757.3,5498,-14.32%,Yes,2x,-2.80%,3.37%,-28.70%,-53.34%,-82.41%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$0.01,0.00%,n/a,2.08,9,207.03%,$17.43,$19.18,n/a,n/a,52,25.02%,35%,15%,1099,B-,B-,B,A,n/a,n/a,B
DXD,UltraShort Dow30 ETF,16.95,237678,1065378,-15.92%,Yes,2x,-1.51%,0.83%,-29.52%,-47.33%,-80.02%,Leveraged Equities,2006-07-11,0.95%,Not Available,n/a,2008-12-23,$0.03,0.00%,n/a,-1.80,11,200.03%,$16.40,$17.40,$16.81,$17.02,50,22.72%,35%,15%,1099,A,B-,A-,A,n/a,n/a,A-
SDS,UltraShort S&P500 ETF,16.47,2121515,10705578,-17.36%,Yes,2x,-2.60%,-0.24%,-28.45%,-53.54%,-84.00%,Leveraged Equities,2006-07-11,0.89%,Not Available,n/a,2008-12-23,$0.03,0.00%,n/a,-1.90,12,199.97%,$16.08,$17.13,$16.38,$16.53,47,23.66%,35%,15%,1099,A+,A-,A-,A-,n/a,n/a,A
SDP,UltraShort Utilities ETF,31.00,8923.8,9165,-35.04%,Yes,2x,-7.27%,-9.94%,-41.87%,-65.51%,-80.58%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2009-12-23,$0.09,0.53%,n/a,-3.01,7,200.05%,$31.36,$35.61,n/a,n/a,40,26.38%,35%,15%,1099,C+,B-,B,A,n/a,n/a,B
SDD,UltraShort SmallCap600 ETF,26.38,3208.3,1978,-29.03%,Yes,2x,-5.24%,-2.94%,-33.70%,-55.44%,-89.24%,Leveraged Equities,2007-01-23,0.95%,Not Available,n/a,2008-12-23,$0.17,0.00%,n/a,-2.65,7,200.10%,$25.86,$28.55,n/a,n/a,40,34.04%,35%,15%,1099,C,B-,A-,A,n/a,n/a,B-
SMN,UltraShort Basic Materials ETF,24.96,12090.9,14211,-27.27%,Yes,2x,-3.14%,4.30%,-40.68%,-40.13%,-76.35%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$0.01,0.00%,n/a,2.71,7,213.58%,$22.70,$26.35,$24.72,$25.08,52,35.36%,35%,15%,1099,B,B-,A,B+,n/a,n/a,B
SH,Short S&P500 ETF,38.14,2695857,3304596,-8.62%,Yes,No,-1.29%,-0.08%,-14.87%,-30.83%,-58.79%,Inverse Equities,2006-06-19,0.89%,Not Available,n/a,2008-12-23,$0.00,0.00%,n/a,-0.97,11,100.00%,$37.68,$38.91,$38.04,$38.21,47,12.01%,35%,15%,1099,A,B+,B+,A,n/a,n/a,A+
DOG,Short Dow30 ETF,20.79,351050,695075,-8.01%,Yes,No,-0.76%,0.43%,-15.56%,-26.43%,-54.17%,Inverse Equities,2006-06-19,0.95%,Not Available,n/a,2008-12-23,$0.03,0.00%,n/a,-0.90,10,100.01%,$20.45,$21.08,$20.71,$20.84,50,11.27%,35%,15%,1099,A,B-,A-,A+,n/a,n/a,A
MZZ,UltraShort MidCap400 ETF,30.18,7555.7,7180,-25.54%,Yes,2x,-3.89%,-0.43%,-28.69%,-52.49%,-85.85%,Leveraged Equities,2006-07-11,0.95%,Not Available,n/a,2008-12-23,$0.01,0.00%,n/a,-2.42,9,199.96%,$28.87,$31.81,$29.93,$30.31,47,31.19%,35%,15%,1099,B-,B-,A-,A,n/a,n/a,B
SBB,Short SmallCap600 ETF,43.88,10635.6,1142,-15.24%,Yes,No,-3.50%,-0.54%,-17.89%,-31.57%,-65.06%,Inverse Equities,2007-01-23,0.95%,Not Available,n/a,2008-09-24,$0.16,0.00%,n/a,-1.13,7,99.94%,$43.49,$45.44,n/a,n/a,39,16.17%,35%,15%,1099,C+,C+,B-,B+,n/a,n/a,B
SCC,UltraShort Consumer Services ETF,38.40,2383.6,794,-9.99%,Yes,2x,-2.86%,0.95%,-17.76%,-57.54%,-88.41%,Leveraged Equities,2007-01-30,0.95%,Not Available,n/a,2008-12-23,$0.01,0.00%,n/a,1.68,9,232.72%,$36.68,$40.42,n/a,n/a,48,31.23%,35%,15%,1099,C+,B-,B+,A-,n/a,n/a,B-
MYY,Short MidCap400 ETF,14.12,25623,29488,-13.16%,Yes,No,-2.08%,0.21%,-14.84%,-29.82%,-60.70%,Inverse Equities,2006-06-19,0.95%,Not Available,n/a,2008-12-23,$11.30,0.00%,n/a,-1.19,8,99.93%,$13.81,$14.53,n/a,n/a,47,14.50%,35%,15%,1099,B+,B-,B,A-,n/a,n/a,B+
RWM,Short Russell2000 ETF,53.70,438191.3,485498,-13.54%,Yes,No,-2.45%,-1.77%,-14.83%,-27.67%,-62.59%,Inverse Equities,2007-01-23,0.95%,Not Available,n/a,2008-12-23,$0.36,0.00%,n/a,-1.35,12,99.87%,$53.31,$55.70,$53.41,$53.85,42,16.70%,35%,15%,1099,A-,B-,B-,A-,n/a,n/a,A-
